date,mkt,name,offer,price,shares,symbol
6/29/2006,NASDAQ,GMARKET INC.,"$139,073,366",$15.25,"9,119,565",GMKT
6/28/2006,New York Stock Exchange,J CREW GROUP INC,"$376,000,000",$20,"18,800,000",JCG
6/28/2006,NASDAQ,"OMNITURE, INC.","$69,550,000",$6.50,"10,700,000",OMTR
6/28/2006,NASDAQ,"PGT INNOVATIONS, INC.","$123,529,406",$14,"8,823,529",PGTI
6/28/2006,NASDAQ,CARDIOVASCULAR SYSTEMS INC,"$45,000,000",$10,"4,500,000",RDYN
6/26/2006,New York Stock Exchange,INVESCO CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,"$1,001,970,000",$74.22,"13,500,000",FXA
6/26/2006,New York Stock Exchange,INVESCO CURRENCYSHARES BRITISH POUND STERLING TRUST,"$1,474,000,000",$184.25,"8,000,000",FXB
6/26/2006,New York Stock Exchange,INVESCO CURRENCYSHARES CANADIAN DOLLAR TRUST,"$1,023,730,000",$89.02,"11,500,000",FXC
6/26/2006,New York Stock Exchange,INVESCO CURRENCYSHARES SWISS FRANC TRUST,"$1,013,750,000",$81.10,"12,500,000",FXF
6/26/2006,New York Stock Exchange,CURRENCYSHARES MEXICAN PESO TRUST,"$1,048,680,000",$87.39,"12,000,000",FXM
6/26/2006,New York Stock Exchange,INVESCO CURRENCYSHARES SWEDISH KRONA TRUST,"$1,026,525,000",$136.87,"7,500,000",FXS
6/23/2006,NASDAQ,HOME BANCSHARES INC,"$45,000,000",$18,"2,500,000",HOMB
6/21/2006,NASDAQ,TECHWELL INC,"$49,500,000",$9,"5,500,000",TWLL
6/19/2006,NASDAQ,"EASTERN INSURANCE HOLDINGS, INC.","$83,055,560",$10,"8,305,556",EIHI
6/19/2006,American Stock Exchange,BEVERLY NATIONAL CORP,"$15,400,000",$22,"700,000",BNV
6/15/2006,NASDAQ,GOLFSMITH INTERNATIONAL HOLDINGS INC,"$69,000,000",$11.50,"6,000,000",GOLF
6/15/2006,NASDAQ,HOUSTON WIRE & CABLE CO,"$110,500,000",$13,"8,500,000",HWCC
6/15/2006,NASDAQ,VOLCANO CORP,"$54,400,000",$8,"6,800,000",VOLC
6/15/2006,NASDAQ,SYNCHRONOSS TECHNOLOGIES INC,"$56,528,432",$8,"7,066,054",SNCR
6/14/2006,New York Stock Exchange,VERASUN ENERGY CORP,"$419,750,000",$23,"18,250,000",VSE
6/13/2006,NASDAQ,VERIGY LTD.,"$127,500,000",$15,"8,500,000",VRGY
6/7/2006,NASDAQ,"LOOPNET, INC.","$72,000,000",$12,"6,000,000",LOOP
6/6/2006,American Stock Exchange,COMMUNITY BANKERS TRUST CORP,"$60,000,000",$8,"7,500,000",BTC.U
6/2/2006,NASDAQ,TOWN SPORTS INTERNATIONAL HOLDINGS INC,"$116,350,000",$13,"8,950,000",CLUB
6/2/2006,NASDAQ,LUNA INNOVATIONS INC,"$21,000,000",$6,"3,500,000",LUNA
6/2/2006,American Stock Exchange,HD PARTNERS ACQUISITION CORP,"$150,000,000",$8,"18,750,000",HDP.U
6/2/2006,NASDAQ,"ALPHATEC HOLDINGS, INC.","$83,700,000",$9,"9,300,000",ATEC
6/1/2006,NASDAQ,"CTC MEDIA, INC.","$345,931,446",$14,"24,709,389",CTCM
5/26/2006,New York Stock Exchange,"MUELLER WATER PRODUCTS, INC.","$400,000,000",$16,"25,000,000",MWA
5/25/2006,New York Stock Exchange,MASTERCARD INC,"$2,399,315,568",$39,"61,520,912",MA
5/24/2006,New York Stock Exchange,VONAGE HOLDINGS CORP,"$531,250,000",$17,"31,250,000",VG
5/19/2006,New York Stock Exchange,DARWIN PROFESSIONAL UNDERWRITERS INC,"$83,478,256",$16,"5,217,391",DR
5/18/2006,New York Stock Exchange,EMBARQ CORP,"$85,645",$24.47,"3,500",EQ
5/18/2006,New York Stock Exchange,BURGER KING HOLDINGS INC,"$425,000,000",$17,"25,000,000",BKC
5/17/2006,NASDAQ,PENSON WORLDWIDE INC,"$126,917,937",$17,"7,465,761",PNSN
5/17/2006,NASDAQ,"RESTORE MEDICAL, INC.","$32,000,000",$8,"4,000,000",REST
5/12/2006,NASDAQ,"BIOMIMETIC THERAPEUTICS, INC.","$36,800,000",$8,"4,600,000",BMTI
5/12/2006,NASDAQ,"BASIN WATER, INC.","$72,000,000",$12,"6,000,000",BWTR
5/12/2006,OTCBB,KITARA MEDIA CORP.,"$36,000,000",$6,"6,000,000",ASAQU
5/11/2006,NASDAQ,COMPASS GROUP DIVERSIFIED HOLDINGS LLC,"$202,500,000",$15,"13,500,000",CODI
5/10/2006,NASDAQ,"ALLIANCE HOLDINGS GP, L.P.","$312,500,000",$25,"12,500,000",AHGP
5/10/2006,NASDAQ,"PARATEK PHARMACEUTICALS, INC.","$40,625,000",$6.50,"6,250,000",NOVC
5/5/2006,NASDAQ,"NORTHSTAR NEUROSCIENCE, INC.","$106,500,000",$15,"7,100,000",NSTR
5/5/2006,OTCBB,EUROSEAS LTD.,"$67,216,380",$7,"9,602,340",ESEAF
5/4/2006,New York Stock Exchange,DYNCORP INTERNATIONAL INC.,"$375,000,000",$15,"25,000,000",DCP
5/4/2006,New York Stock Exchange,"DELEK US ENERGY, INC.","$160,000,000",$16,"10,000,000",DK
4/28/2006,NASDAQ,"CPI INTERNATIONAL, INC.","$127,059,660",$18,"7,058,870",CPII
4/27/2006,NASDAQ,AMERICAN MOLD GUARD INC,"$17,550,000",$13,"1,350,000",AMGIU
4/27/2006,NASDAQ,AMERICAN OVERSEAS GROUP LIMITED,"$122,322,265",$13,"9,409,405",RAMR
4/26/2006,NASDAQ,COREL CORP,"$104,000,000",$16,"6,500,000",CREL
4/26/2006,American Stock Exchange,HARBOR ACQUISITION CORP.,"$60,000,000",$6,"10,000,000",HAC-U
4/25/2006,American Stock Exchange,SHANGHAI CENTURY ACQUISITION CORP,"$100,000,000",$8,"12,500,000",SHA-U
4/21/2006,NASDAQ,"OMRIX BIOPHARMACEUTICALS, INC.","$34,375,000",$10,"3,437,500",OMRI
4/21/2006,New York Stock Exchange,"SUPERIOR ENERGY SERVICES-NORTH AMERICA SERVICES, INC","$624,000,000",$24,"26,000,000",CPX
4/20/2006,OTCBB,SOUTHPEAK INTERACTIVE CORP,"$3,400,000",$8.50,"400,000",GSPAU
4/13/2006,OTCBB,ASIA AUTOMOTIVE ACQUISITION CORP.,"$35,000,000",$8,"4,375,000",AAACU
4/12/2006,NASDAQ,"CATALYST BIOSCIENCES, INC.","$45,000,000",$9,"5,000,000",TRGT
4/12/2006,NASDAQ,VANDA PHARMACEUTICALS INC.,"$57,500,000",$10,"5,750,000",VNDA
4/11/2006,American Stock Exchange,"GOLDEN GATE HOMES, INC.","$57,999,996",$6,"9,666,666",JKA-U
4/7/2006,NASDAQ,"OMEGA NAVIGATION ENTERPRISES, INC.","$147,827,699",$17,"8,695,747",ONAV
4/7/2006,New York Stock Exchange,SEALY CORP,"$448,000,000",$16,"28,000,000",ZZ
4/6/2006,New York Stock Exchange,GOODMAN GLOBAL INC,"$423,529,398",$18,"23,529,411",GGL
4/6/2006,American Stock Exchange,CASTLE BRANDS INC,"$31,500,000",$9,"3,500,000",ROX
4/5/2006,NASDAQ,VISICU INC,"$96,000,000",$16,"6,000,000",EICU
4/5/2006,American Stock Exchange,GENERAL FINANCE CORP,"$60,000,000",$8,"7,500,000",GFN-U
4/4/2006,NASDAQ,"LAKE SHORE BANCORP, INC.","$25,875,000",$10,"2,587,500",LSBK
3/31/2006,NASDAQ,"HIMAX TECHNOLOGIES, INC.","$468,000,000",$9,"52,000,000",HIMX
3/31/2006,OTCBB,PHOENIX INDIA ACQUISITION CORP.,"$49,250,000",$8,"6,156,250",PXIAU
3/29/2006,NASDAQ,CHINA GRENTECH CORP LTD,"$112,500,000",$18,"6,250,000",GRRF
3/24/2006,NASDAQ,"GLOBAL TRAFFIC NETWORK, INC.","$19,000,000",$5,"3,800,000",GNET
3/24/2006,New York Stock Exchange,MACRO BANK INC.,"$197,767,018",$20.35,"9,718,281",BMA
3/24/2006,NASDAQ,CLAYTON HOLDINGS INC,"$127,500,000",$17,"7,500,000",CLAY
3/24/2006,New York Stock Exchange,TIM HORTONS INC.,"$671,640,000",$23.16,"29,000,000",THI
3/23/2006,NASDAQ,EFUTURE HOLDING INC.,"$9,000,000",$6,"1,500,000",EFUT
3/23/2006,American Stock Exchange,"NORTH AMERICAN INSURANCE LEADERS, INC.","$100,000,000",$8,"12,500,000",NAO
3/22/2006,NASDAQ,NEXTEST SYSTEMS CORP,"$75,600,000",$14,"5,400,000",NEXT
3/17/2006,OTCBB,PET DRX CORP,"$50,000,000",$8,"6,250,000",EHHAU
3/15/2006,New York Stock Exchange,TRANSDIGM GROUP INC,"$230,045,970",$21,"10,954,570",TDG
3/13/2006,American Stock Exchange,TOWER US HOLDINGS INC.,"$150,000,000",$6,"25,000,000",AQR-U
3/10/2006,OTCBB,"UAN CULTURAL & CREATIVE CO., LTD.","$4,250,000",$8.50,"500,000",GHBAU
3/10/2006,New York Stock Exchange,TAM S.A.,"$463,785,648",$19.43,"23,869,565",TAM
3/9/2006,NASDAQ,"EAGLE TEST SYSTEMS, INC.","$100,750,000",$15.50,"6,500,000",EGLT
3/8/2006,NASDAQ,ALEXZA PHARMACEUTICALS INC.,"$44,000,000",$8,"5,500,000",ALXA
3/3/2006,OTCBB,ORACLE HEALTHCARE ACQUISITION CORP.,"$120,000,000",$8,"15,000,000",OHAQU
3/3/2006,American Stock Exchange,"INDIA GLOBALIZATION CAPITAL, INC.","$58,980,000",$6,"9,830,000",IGC-U
2/28/2006,American Stock Exchange,"GRUBB & ELLIS REALTY ADVISORS, INC.","$125,000,004",$6,"20,833,334",GAV'U
2/24/2006,New York Stock Exchange,PACIFIC AIRPORT GROUP,"$609,538,692",$21,"29,025,652",PAC
2/24/2006,OTCBB,KYN CAPITAL GROUP INC,"$2,500,000",$5,"500,000",NTYN
2/23/2006,NASDAQ,LIQUIDITY SERVICES INC,"$76,873,620",$10,"7,687,362",LQDT
2/21/2006,New York Stock Exchange,MARINER ENERGY INC,"$666,962,600",$20,"33,348,130",ME
2/16/2006,American Stock Exchange,CLARK HOLDINGS INC.,"$80,000,000",$8,"10,000,000",GLA-U
2/16/2006,OTCBB,"GOLD HORSE INTERNATIONAL, INC.","$806,250",$0.25,"3,225,000",SPHH
2/14/2006,American Stock Exchange,SPARK NETWORKS INC,"$236,839,652",$7.12,"33,263,996",LOV
2/14/2006,NASDAQ,MORGANS HOTEL GROUP CO.,"$360,000,000",$20,"18,000,000",MHGC
2/13/2006,NASDAQ,"NBL TEXAS, LLC","$950,000,000",$19,"50,000,000",ROSE
2/10/2006,OTCBB,OPTIONABLE INC,"$6,286,205",$0.20,"31,431,026",OPBL
2/10/2006,New York Stock Exchange,MAGELLAN MIDSTREAM HOLDINGS LP,"$539,000,000",$24.50,"22,000,000",MGG
2/10/2006,NASDAQ,ACORDA THERAPEUTICS INC,"$33,000,000",$6,"5,500,000",ACOR
2/10/2006,NASDAQ,AMCOMP INC /FL,"$94,500,000",$9,"10,500,000",AMCP
2/9/2006,New York Stock Exchange,MORTONS RESTAURANT GROUP INC,"$160,905,000",$17,"9,465,000",MRT
2/9/2006,NASDAQ,NIGHTHAWK RADIOLOGY HOLDINGS INC,"$100,800,000",$16,"6,300,000",NHWK
2/9/2006,NASDAQ,NTELOS HOLDINGS CORP.,"$172,500,000",$12,"14,375,000",NTLS
2/9/2006,New York Stock Exchange,EXCO RESOURCES INC,"$650,000,000",$13,"50,000,000",XCO
2/8/2006,NASDAQ,"CROCS, INC.","$207,900,000",$21,"9,900,000",CROX
2/7/2006,New York Stock Exchange,EXANTAS CAPITAL CORP.,"$60,000,000",$15,"4,000,000",RSO
2/3/2006,NASDAQ,DEX LIQUIDATING CO.,"$35,000,000",$10,"3,500,000",CRDC
2/3/2006,New York Stock Exchange,"HEALTHSPRING, INC.","$366,600,000",$19.50,"18,800,000",HS
2/3/2006,American Stock Exchange,COINMACH SERVICE CORP,"$96,359,742",$9,"10,706,638",DRA
2/3/2006,New York Stock Exchange,"ENERGY TRANSFER EQUITY, L.P.","$441,000,000",$21,"21,000,000",ETE
2/2/2006,NASDAQ,"ORCHARD ENTERPRISES, INC.","$38,025,000",$9.75,"3,900,000",DMGI
2/2/2006,NASDAQ,"SMART MODULAR TECHNOLOGIES (WWH), INC.","$163,636,362",$9,"18,181,818",SMOD
2/2/2006,NASDAQ,VALERA PHARMACEUTICALS INC,"$33,750,000",$9,"3,750,000",VLRX
2/2/2006,NASDAQ,"THOMAS WEISEL PARTNERS GROUP, INC.","$90,000,000",$15,"6,000,000",TWPG
2/1/2006,New York Stock Exchange,TERNIUM S.A.,"$496,894,400",$20,"24,844,720",TX
2/1/2006,American Stock Exchange,AMERICAN TELECOM SERVICES INC,"$16,917,500",$5.05,"3,350,000",TES
2/1/2006,NASDAQ,"SGX PHARMACEUTICALS, INC.","$24,000,000",$6,"4,000,000",SGXP
2/1/2006,NASDAQ,"INTERCELL USA, INC.","$35,000,000",$7,"5,000,000",IOMI
2/1/2006,New York Stock Exchange,KOPPERS HOLDINGS INC.,"$140,000,000",$14,"10,000,000",KOP
1/31/2006,NASDAQ,"FORTUNET, INC.","$22,500,000",$9,"2,500,000",FNET
1/31/2006,NASDAQ,"H&E EQUIPMENT SERVICES, INC.","$196,875,000",$18,"10,937,500",HEES
1/31/2006,NASDAQ,REGENCY ENERGY PARTNERS LP,"$275,000,000",$20,"13,750,000",RGNC
1/30/2006,NASDAQ,PERION NETWORK LTD.,"$18,750,000",$7.50,"2,500,000",MAIL
1/27/2006,OTCBB,"BOULDER BRANDS, INC.","$102,086,720",$8,"12,760,840",BDSB
1/27/2006,OTCBB,BIGSTRING CORP,"$7,302,082",$0.48,"15,212,670",BSGC
1/26/2006,NASDAQ,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.","$138,675,000",$21.50,"6,450,000",CLMT
1/26/2006,New York Stock Exchange,CHIPOTLE MEXICAN GRILL INC,"$173,333,336",$22,"7,878,788",CMG
1/26/2006,NASDAQ,ALTUS PHARMACEUTICALS INC.,"$105,000,000",$15,"7,000,000",ALTU
1/25/2006,OTCBB,"ARGYLE SECURITY, INC.","$29,000,000",$8,"3,625,000",ARGLU
1/25/2006,NASDAQ,"TRAFFIC.COM, INC.","$78,600,000",$12,"6,550,000",TRFC
1/24/2006,NASDAQ,"MAGYAR BANCORP, INC.","$27,232,920",$10,"2,723,292",MGYR
1/20/2006,NASDAQ,"AMERICAN RAILCAR INDUSTRIES, INC.","$178,500,000",$21,"8,500,000",ARII
1/19/2006,New York Stock Exchange,CNX GAS CORP,"$607,622,507",$21.75,"27,936,667",CXG
1/19/2006,New York Stock Exchange,"WESTERN REFINING, INC.","$382,500,000",$17,"22,500,000",WNR
1/13/2006,NASDAQ,"LINN ENERGY, INC.","$246,750,000",$21,"11,750,000",LINE
12/30/2005,OTCBB,"VISTULA COMMUNICATIONS SERVICES, INC.","$34,197,488",$1,"34,197,488",VSTL
12/22/2005,NASDAQ,NUCRYST PHARMACEUTICALS CORP.,"$45,000,000",$10,"4,500,000",NCSTV
12/21/2005,NASDAQ,"PIXELPLUS CO., LTD.","$36,000,000",$8,"4,500,000",PXPL
12/21/2005,NASDAQ,"MAJESTIC CAPITAL, LTD.","$115,050,000",$13,"8,850,000",CRMH
12/16/2005,NASDAQ,"DEI HOLDINGS, INC.","$150,000,000",$16,"9,375,000",DEIX
12/16/2005,American Stock Exchange,"AMERICAN APPAREL, INC","$120,000,000",$8,"15,000,000",EDA-U
12/16/2005,New York Stock Exchange,ENVISION HEALTHCARE CORP,"$109,200,000",$14,"7,800,000",EMS
12/16/2005,New York Stock Exchange,EMERGENCY MEDICAL SERVICES L.P.,"$113,400,000",$14,"8,100,000",EMS
12/16/2005,American Stock Exchange,STAR MARITIME ACQUISITION CORP.,"$188,675,000",$10,"18,867,500",SEAU
12/16/2005,NASDAQ,SPANSION INC.,"$506,400,000",$12,"42,200,000",SPSN
12/15/2005,NASDAQ,"PERNIX SLEEP, INC.","$55,000,000",$11,"5,000,000",SOMX
12/15/2005,New York Stock Exchange,REPUBLIC PROPERTY TRUST,"$240,000,000",$12,"20,000,000",RPB
12/15/2005,NASDAQ,CAROLINA NATIONAL CORP,"$16,000,000",$16,"1,000,000",CNCP
12/15/2005,New York Stock Exchange,"COPA HOLDINGS, S.A.","$315,000,000",$20,"15,750,000",CPA
12/14/2005,New York Stock Exchange,"SUNTECH POWER HOLDINGS CO., LTD.","$395,700,000",$15,"26,380,000",STP
12/13/2005,NASDAQ,"DEALERTRACK TECHNOLOGIES, INC","$170,000,000",$17,"10,000,000",TRAK
12/13/2005,NASDAQ,CAPITALSOUTH BANCORP,"$11,250,000",$18.75,"600,000",CAPB
12/13/2005,NASDAQ,SCOPUS VIDEO NETWORKS LTD.,"$31,500,000",$7,"4,500,000",SCOP
12/9/2005,New York Stock Exchange,INVESCO CURRENCYSHARES EURO TRUST,"$1,994,780,000",$117.34,"17,000,000",FXE
12/9/2005,OTCBB,INNOVATIVE CARD TECHNOLOGIES INC,"$3,178,331",$1,"3,178,331",INVC
12/9/2005,New York Stock Exchange,BASIC ENERGY SERVICES INC,"$250,000,000",$20,"12,500,000",BAS
12/9/2005,NASDAQ,CYNOSURE INC,"$75,000,000",$15,"5,000,000",CYNO
12/9/2005,NASDAQ,"WIDERTHAN CO., LTD.","$72,000,000",$12,"6,000,000",WTHN
12/8/2005,New York Stock Exchange,IGATE COMPUTER SYSTEMS LTD,"$139,837,500",$20.34,"6,875,000",PTI
12/7/2005,NASDAQ,"VOCUS, INC.","$45,000,000",$9,"5,000,000",VOCS
12/2/2005,New York Stock Exchange,"DCP MIDSTREAM, LP","$193,500,000",$21.50,"9,000,000",DPM
11/30/2005,NASDAQ,"ACTIONS SEMICONDUCTOR CO., LTD.","$72,000,000",$8,"9,000,000",ACTS
11/22/2005,New York Stock Exchange,BROOKDALE SENIOR LIVING INC.,"$210,368,000",$19,"11,072,000",BKD
11/22/2005,New York Stock Exchange,TRONOX INC,"$244,720,000",$14,"17,480,000",TRX
11/22/2005,NASDAQ,UNION DRILLING INC,"$123,529,420",$14,"8,823,530",UDRL
11/18/2005,NASDAQ,"UNDER ARMOUR, INC.","$157,612,000",$13,"12,124,000",UARM
11/18/2005,NASDAQ,AMERISAFE INC,"$72,000,000",$9,"8,000,000",AMSF
11/18/2005,NASDAQ,DOVER SADDLERY INC,"$27,500,000",$10,"2,750,000",DOVR
11/17/2005,NASDAQ,SUNPOWER CORP,"$138,600,000",$18,"7,700,000",SPWR
11/16/2005,New York Stock Exchange,"INTERCONTINENTAL EXCHANGE HOLDINGS, INC.","$416,000,000",$26,"16,000,000",ICE
11/15/2005,NASDAQ,VIMICRO INTERNATIONAL CORP,"$86,970,630",$10,"8,697,063",VIMC
11/11/2005,New York Stock Exchange,"CLEAR CHANNEL OUTDOOR HOLDINGS, INC.","$630,000,000",$18,"35,000,000",CCO
11/11/2005,New York Stock Exchange,IHS INC.,"$232,240,000",$16,"14,515,000",IHS
11/10/2005,American Stock Exchange,COLD SPRING CAPITAL INC.,"$120,000,000",$6,"20,000,000",CDS.U
11/10/2005,NASDAQ,SAIFUN SEMICONDUCTORS LTD.,"$117,500,000",$23.50,"5,000,000",SFUN
11/9/2005,NASDAQ,"EPIRUS BIOPHARMACEUTICALS, INC.","$42,000,000",$7,"6,000,000",CRXX
11/9/2005,NASDAQ,IROBOT CORP,"$103,200,000",$24,"4,300,000",IRBT
11/9/2005,New York Stock Exchange,"BOARDWALK PIPELINE PARTNERS, LP","$292,500,000",$19.50,"15,000,000",BWP
11/2/2005,NASDAQ,"CBEYOND, INC.","$73,588,236",$12,"6,132,353",CBEY
11/2/2005,New York Stock Exchange,"NEWKIRK REALTY TRUST, INC.","$240,000,000",$16,"15,000,000",NKT
11/2/2005,NASDAQ,"WEB.COM GROUP, INC.","$68,000,000",$10,"6,800,000",WSPI
10/28/2005,NASDAQ,ACCENTIA BIOPHARMACEUTICALS INC,"$19,200,000",$8,"2,400,000",ABPI
10/28/2005,NASDAQ,"STRATA SKIN SCIENCES, INC.","$20,000,000",$5,"4,000,000",MELA
10/27/2005,New York Stock Exchange,"TH MERGER COMPANY, LLC","$98,600,000",$17,"5,800,000",CSA
10/27/2005,NASDAQ,"HERCULES OFFSHORE, INC.","$184,000,000",$20,"9,200,000",HERO
10/27/2005,NASDAQ,SAJAN INC,"$24,000,000",$6,"4,000,000",MATH
10/27/2005,NASDAQ,"NXSTAGE MEDICAL, INC.","$55,000,000",$10,"5,500,000",NXTM
10/26/2005,OTCBB,PLATINUM ENERGY RESOURCES INC,"$115,200,000",$8,"14,400,000",PGRIU
10/26/2005,OTCBB,"HALITRON, INC.","$11,100,000",$2.50,"4,440,000",TKNK
10/25/2005,OTCBB,KEY HOSPITALITY ACQUISITION CORP,"$48,000,000",$8,"6,000,000",KHPAU
10/24/2005,OTCBB,CHEM RX CORP,"$51,000,000",$6,"8,500,000",PMQCU
10/24/2005,NASDAQ,"NCI, INC.","$54,075,000",$10.50,"5,150,000",NCIT
10/20/2005,OTCBB,ATS CORP,"$126,000,000",$6,"21,000,000",FDSAU
10/19/2005,New York Stock Exchange,CBOT HOLDINGS  INC,"$172,340,406",$54,"3,191,489",BOT
10/14/2005,NASDAQ,"POKERTEK, INC.","$22,000,000",$11,"2,000,000",PTEK
10/13/2005,New York Stock Exchange,"DHT HOLDINGS, INC.","$192,000,000",$12,"16,000,000",DHT
10/12/2005,New York Stock Exchange,"TAL INTERNATIONAL GROUP, INC.","$207,000,000",$18,"11,500,000",TAL
10/12/2005,NASDAQ,INVESTORS BANCORP INC,"$448,931,250",$10,"44,893,125",ISBC
10/7/2005,NASDAQ,AMERICAN COMMERCIAL LINES INC.,"$173,250,000",$21,"8,250,000",ACLI
10/6/2005,NASDAQ,STEALTHGAS INC.,"$116,000,000",$14.50,"8,000,000",GASS
10/5/2005,NASDAQ,WATERSTONE FINANCIAL INC,"$87,975,000",$10,"8,797,500",WAUW
10/3/2005,NASDAQ,GUARANTY BANCORP,"$632,974,038",$12.50,"50,637,923",CBHI
9/30/2005,NASDAQ,"STATE NATIONAL BANCSHARES, INC.","$49,599,992",$26,"1,907,692",SNBI
9/30/2005,NASDAQ,CIMPRESS N.V.,"$120,191,160",$12,"10,015,930",VPRT
9/29/2005,NASDAQ,WEBMD HEALTH CORP.,"$120,750,000",$17.50,"6,900,000",WBMD
9/29/2005,NASDAQ,TALEO CORP,"$93,800,000",$14,"6,700,000",TLEO
9/29/2005,NASDAQ,GENOMIC HEALTH INC,"$60,200,664",$12,"5,016,722",GHDX
9/29/2005,New York Stock Exchange,GLOBAL PARTNERS LP,"$107,800,000",$22,"4,900,000",GLP
9/29/2005,NASDAQ,AVALON PHARMACEUTICALS INC,"$28,875,000",$10.50,"2,750,000",AVRX
9/29/2005,NASDAQ,"CARIBOU COFFEE COMPANY, INC.","$75,012,000",$14,"5,358,000",CBOU
9/28/2005,NASDAQ,ITURAN LOCATION & CONTROL LTD.,"$62,400,000",$13,"4,800,000",ITRN
9/27/2005,New York Stock Exchange,"HORIZON LINES, INC.","$125,000,000",$10,"12,500,000",HRZ
9/27/2005,NASDAQ,TRX INC/GA,"$61,200,000",$9,"6,800,000",TRXI
9/27/2005,NASDAQ,SUNESIS PHARMACEUTICALS INC,"$42,000,000",$7,"6,000,000",SNSS
9/23/2005,New York Stock Exchange,EVERI HOLDINGS INC.,"$224,898,198",$14,"16,064,157",GCA
9/23/2005,NASDAQ,NORTH POINTE HOLDINGS CORP,"$48,000,000",$12,"4,000,000",NPTE
9/22/2005,NASDAQ,"IKANOS COMMUNICATIONS, INC.","$76,800,000",$12,"6,400,000",IKAN
9/21/2005,NASDAQ,NEXITY FINANCIAL CORP,"$27,200,000",$16,"1,700,000",NXTY
9/20/2005,NASDAQ,WILLIAMS SCOTSMAN INTERNATIONAL INC,"$245,213,392",$16,"15,325,837",WLSC
9/20/2005,OTCBB,U.S. HELICOPTER CORP,"$7,942,915",$0.75,"10,590,553",USHP
9/9/2005,OTCBB,EQUITY MEDIA HOLDINGS CORP,"$60,000,000",$6,"10,000,000",CNUTU
9/8/2005,OTCBB,"NET ELEMENT, INC.","$9,904,295",$0.25,"39,617,181",SPLX
8/26/2005,OTCBB,180 CONNECT INC.,"$54,000,000",$6,"9,000,000",AVPAU
8/24/2005,New York Stock Exchange,ENTERPRISE GP HOLDINGS L.P.,"$352,800,000",$28,"12,600,000",EPE
8/24/2005,American Stock Exchange,"RMX HOLDINGS, INC.","$17,050,000",$11,"1,550,000",RMX
8/23/2005,OTCBB,NARROWSTEP INC,"$22,151,542",$1.20,"18,459,618",NRWS
8/19/2005,OTCBB,ALUS LIQUIDATION CORP,"$51,000,000",$6,"8,500,000",ITHKU
8/18/2005,New York Stock Exchange,WILLIAMS PARTNERS L.P.,"$107,500,000",$21.50,"5,000,000",WPZ
8/17/2005,New York Stock Exchange,"ROCKWOOD HOLDINGS, INC.","$408,163,260",$20,"20,408,163",ROC
8/16/2005,NASDAQ,KONA GRILL INC,"$27,500,000",$11,"2,500,000",KONA
8/16/2005,NASDAQ,"BRONCO DRILLING COMPANY, INC.","$86,700,000",$17,"5,100,000",BRNC
8/11/2005,New York Stock Exchange,"CF INDUSTRIES HOLDINGS, INC.","$660,000,000",$16,"41,250,000",CF
8/11/2005,New York Stock Exchange,HEARTLAND PAYMENT SYSTEMS INC,"$121,500,000",$18,"6,750,000",HPY
8/11/2005,New York Stock Exchange,REFCO INC.,"$583,000,000",$22,"26,500,000",RFX
8/10/2005,NASDAQ,RBC BEARINGS INC,"$134,676,000",$14.50,"9,288,000",ROLL
8/10/2005,New York Stock Exchange,REDDY ICE HOLDINGS INC,"$188,700,000",$18.50,"10,200,000",FRZ
8/10/2005,NASDAQ,FIRST SECURITY GROUP INC/TN,"$45,000,000",$10,"4,500,000",FSGI
8/10/2005,NASDAQ,"COLEY PHARMACEUTICAL GROUP, INC.","$96,000,000",$16,"6,000,000",COLY
8/10/2005,NASDAQ,"CHINA MEDICAL TECHNOLOGIES, INC.","$96,000,000",$15,"6,400,000",CMED
8/9/2005,NASDAQ,"RUTHS HOSPITALITY GROUP, INC.","$234,000,000",$18,"13,000,000",RUTH
8/9/2005,NASDAQ,"JAMES RIVER GROUP, INC","$79,992,000",$18,"4,444,000",JRVR
8/9/2005,New York Stock Exchange,"K&F INDUSTRIES HOLDINGS, INC.","$315,000,000",$17.50,"18,000,000",KFI
8/9/2005,New York Stock Exchange,SEASPAN CORP,"$599,970,000",$21,"28,570,000",SSW
8/5/2005,OTCBB,CHARDAN NORTH CHINA ACQUISITION CORP,"$30,000,000",$6,"5,000,000",CNCAU
8/5/2005,NASDAQ,"BAIDU, INC.","$109,090,854",$27,"4,040,402",BIDU
8/5/2005,NASDAQ,"ADVANCED LIFE SCIENCES HOLDINGS, INC.","$35,000,000",$5,"7,000,000",ADLS
8/5/2005,NASDAQ,"ATRICURE, INC.","$48,000,000",$12,"4,000,000",ATRC
8/5/2005,OTCBB,CHARDAN SOUTH CHINA ACQUISITION CORP,"$30,000,000",$6,"5,000,000",CSCAU
8/5/2005,New York Stock Exchange,DRESSER-RAND GROUP INC.,"$567,000,000",$21,"27,000,000",DRC
8/5/2005,NASDAQ,HOKU CORP,"$21,000,000",$6,"3,500,000",HOKU
8/4/2005,NASDAQ,ADVANCED ANALOGIC TECHNOLOGIES INC,"$106,000,000",$10,"10,600,000",AATI
8/4/2005,NASDAQ,ESCHELON TELECOM INC,"$75,000,002",$14,"5,357,143",ESCH
8/4/2005,NASDAQ,"WORLDSPACE, INC","$249,236,400",$21,"11,868,400",WRSP
